School,Ranking,Color,Country,Total % Women 2019,Total # Women 2019,Total # 2019,% TT Women 2019,# TT Women 2019,Total # TT 2019,Total Full 2019,Full NB,# Full Women 2019,% Full Women 2019,Total Assoc 2019,Associate NB,# Assoc Women 2019,% Assoc Women  2019,Total Assist 2019,Assistant NB,# Assist Women 2019,% Assist Women 2019,Total Visit 2019,Visit NB,# Visit  Women 2019,% Visit Women  2019,Total Emer 2019,Emer NB,# Emer Woman 2019,%  Emer  Women  2019,Total Adj 2019,Adj NB,# Adj Women 2019,% Adj Women  2019,Total Lect 2019,Lect NB,# Lect Women 2019,% Lect Women  2019,Total total,Women total,Uncounted faculty
New York University,1,c_top,United States,21.43%,6,28,21.43%,6,28,24,,3,12.50%,3,,3,100.00%,1,,0,0.00%,0,,0,#DIV/0!,3,,1,33.33%,0,,0,#DIV/0!,0,,0,#DIV/0!,31,7,
Rutgers University,2,c_top,United States,17.31%,9,52,25.00%,7,28,25,,6,24.00%,3,,1,33.33%,0,,0,#DIV/0!,3,,0,0.00%,6,,1,16.67%,0,,0,#DIV/0!,21,,2,9.52%,58,10,
Princeton University,3,c_top,United States,27.59%,8,29,25.00%,5,20,13,,2,15.38%,3,,1,33.33%,4,,2,50.00%,2,,1,50.00%,7,,0,0.00%,0,,0,#DIV/0!,7,,2,28.57%,36,8,
University of Michigan,4,c_top,United States,30.77%,8,26,30.43%,7,23,16,,4,25.00%,5,,1,20.00%,2,,2,100.00%,0,,0,#DIV/0!,9,,0,0.00%,0,,0,#DIV/0!,3,,1,33.33%,35,8,
University of Pittsburgh,4,c_top,United States,25.93%,7,27,30.00%,6,20,12,,2,16.67%,3,,2,66.67%,5,,2,40.00%,6,,1,16.67%,5,,0,0.00%,0,,0,#DIV/0!,1,,0,0.00%,32,7,
Yale University,6,c_top,United States,22.22%,6,27,24.00%,6,25,21,,5,23.81%,1,,0,0.00%,3,1,1,33.33%,1,,0,0.00%,3,,0,0.00%,0,,0,#DIV/0!,1,,0,0.00%,30,6,
Massachusetts Institute of Technology,7,c_top,United States,21.43%,3,14,21.43%,3,14,9,,1,11.11%,4,,2,50.00%,1,,0,0.00%,0,,0,#DIV/0!,2,,1,50.00%,0,,0,#DIV/0!,0,,0,#DIV/0!,16,4,
University of Southern California,7,c_top,United States,25.81%,8,31,24.14%,7,29,17,,4,23.53%,7,,1,14.29%,5,,2,40.00%,0,,0,#DIV/0!,4,,0,0.00%,2,,1,50.00%,0,,0,#DIV/0!,35,8,
Columbia University (incl. Barnard),9,c_top,United States,44.83%,13,29,46.15%,12,26,19,,7,36.84%,3,,2,66.67%,4,,3,75.00%,3,,1,33.33%,3,,0,0.00%,0,,0,#DIV/0!,0,,0,#DIV/0!,32,13,
Harvard University,9,c_top,United States,30.43%,7,23,30.00%,6,20,15,,3,20.00%,1,,1,100.00%,4,,2,50.00%,0,,0,#DIV/0!,3,,1,33.33%,0,,0,#DIV/0!,3,,1,33.33%,26,8,
Stanford University,9,c_top,United States,25.93%,7,27,30.00%,6,20,12,,2,16.67%,3,,2,0.666666667,5,,2,40.00%,6,,1,16.67%,5,,0,0.00%,0,,0,#DIV/0!,1,,0,0.00%,32,7,
"University of California, Berkeley",9,c_top,United States,29.17%,7,24,22.22%,4,18,9,,1,11.11%,8,,2,25.00%,1,,1,100.00%,0,,0,#DIV/0!,5,,1,20.00%,2,,1,50.00%,4,,2,50.00%,29,8,
"University of California, Los Angeles",9,c_top,United States,31.25%,10,32,28.57%,6,21,13,,4,30.77%,3,,0,0.00%,5,,2,40.00%,6,,1,16.67%,6,,0,0.00%,3,,3,100.00%,2,,0,0.00%,38,10,
City University of New York Graduate Center,14,c_top,United States,26.09%,12,46,21.95%,9,41,28,,4,14.29%,11,,3,27.27%,2,,2,100.00%,3,,2,66.67%,12,,3,25.00%,,,,#DIV/0!,2,,1,50.00%,58,15,
"University of North Carolina, Chapel Hill",14,c_top,United States,23.68%,9,38,31.82%,7,22,16,,5,31.25%,3,,1,33.33%,3,,1,33.33%,11,,1,9.09%,7,,0,0.00%,0,,0,#DIV/0!,5,,1,20.00%,45,9,1
Arizona State University,16,c_top,United States,27.27%,6,22,23.08%,3,13,5,,2,40.00%,4,,0,0.00%,4,,1,25.00%,0,,0,#DIV/0!,3,,0,0.00%,0,,0,#DIV/0!,9,,3,33.33%,25,6,
University of Arizona,16,c_top,United States,20.00%,7,35,20.83%,5,24,21,,4,19.05%,3,,1,33.33%,0,,0,#DIV/0!,8,,1,12.50%,3,,0,0.00%,3,,1,33.33%,0,,0,#DIV/0!,38,7,
University of Notre Dame,17,c_top,United States,25.00%,10,40,25.71%,9,35,20,,3,15.00%,9,,3,33.33%,6,,3,50.00%,2,,1,50.00%,18,,3,16.67%,0,,0,#DIV/0!,3,,0,0.00%,58,13,
Brown University,18,c_top,United States,30.00%,6,20,31.25%,5,16,13,,3,23.08%,1,,0,0.00%,2,,2,100.00%,4,,1,25.00%,3,,0,0.00%,0,,0,#DIV/0!,0,,0,#DIV/0!,23,6,
"University of Texas, Austin",18,c_top,United States,15.63%,5,32,14.29%,4,28,22,,2,9.09%,5,,2,40.00%,1,,0,0.00%,1,,0,0.00%,8,,0,0.00%,0,,0,#DIV/0!,3,,1,33.33%,40,5,
"University of California, San Diego",20,c_top,United States,26.92%,7,26,26.92%,7,26,16,,4,25.00%,5,,1,20.00%,5,,2,40.00%,0,,0,#DIV/0!,5,,1,20.00%,0,,0,#DIV/0!,0,,0,#DIV/0!,31,8,
"University of California, Irvine",21,c_not,United States,23.08%,3,13,25.00%,3,12,7,,2,28.57%,3,,0,0.00%,2,,1,50.00%,1,,0,0.00%,8,,1,12.50%,0,,0,#DIV/0!,0,,0,#DIV/0!,21,4,
University of Chicago,21,c_not,United States,19.35%,6,31,20.83%,5,24,12,,3,25.00%,7,,1,14.29%,5,,1,20.00%,3,,0,0.00%,4,,0,0.00%,0,,0,#DIV/0!,4,,1,25.00%,35,6,
"University of Wisconsin, Madison",21,c_not,United States,18.18%,4,22,15.79%,3,19,10,,1,10.00%,6,,1,16.67%,3,,1,33.33%,0,,0,#DIV/0!,9,,1,11.11%,0,,0,#DIV/0!,3,,1,33.33%,31,5,
"Washington University, St. Louis",21,c_not,United States,21.05%,4,19,14.29%,2,14,9,,0,0.00%,5,,2,40.00%,0,,0,#DIV/0!,0,,0,#DIV/0!,5,,0,0.00%,0,,0,#DIV/0!,5,,2,40.00%,24,4,
Cornell University,25,c_not,United States,31.82%,7,22,33.33%,6,18,9,,2,22.22%,7,,4,57.14%,2,,0,0.00%,1,,1,100.00%,8,,1,12.50%,1,,0,0.00%,2,,0,0.00%,30,8,
Duke University,25,c_not,United States,25.00%,4,16,25.00%,4,16,13,,2,15.38%,2,,1,50.00%,1,,1,100.00%,0,,0,#DIV/0!,4,,0,0.00%,0,,0,#DIV/0!,0,,0,#DIV/0!,20,4,
University of Pennsylvania,27,c_not,United States,25.00%,6,24,33.33%,5,15,9,,3,33.33%,3,,0,0.00%,3,,2,66.67%,5,,1,20.00%,1,,0,0.00%,0,,0,#DIV/0!,4,,0,0.00%,25,6,
"Indiana University, Bloomington",28,c_not,United States,33.33%,10,30,42.86%,6,14,10,,2,20.00%,2,,2,100.00%,2,,2,100.00%,1,,0,0.00%,14,,3,21.43%,15,,4,26.67%,0,,0,#DIV/0!,44,13,
Ohio State University,28,c_not,United States,20.83%,5,24,18.75%,3,16,12,,2,16.67%,3,,1,33.33%,1,,0,0.00%,0,,0,#DIV/0!,16,,1,6.25%,1,,1,100.00%,7,,1,14.29%,40,6,
"University of Colorado, Boulder",28,c_not,United States,20.00%,9,45,30.00%,6,20,10,,2,20.00%,5,,1,20.00%,5,,3,60.00%,1,,0,0.00%,9,,3,33.33%,0,,0,#DIV/0!,24,,3,12.50%,54,12,
"University of Massachusetts, Amherst",28,c_not,United States,33.33%,5,15,33.33%,5,15,7,,1,14.29%,6,,3,50.00%,2,,1,50.00%,0,,0,#DIV/0!,7,,2,28.57%,0,,0,#DIV/0!,0,,0,#DIV/0!,22,7,
Northwestern University,32,c_not,United States,33.33%,7,21,41.18%,7,17,11,,4,36.36%,4,,1,25.00%,2,,2,100.00%,0,,0,#DIV/0!,3,,0,0.00%,1,,0,0.00%,3,,0,0.00%,24,7,
"University of California, Riverside",32,c_not,United States,26.32%,5,19,27.78%,5,18,9,,1,11.11%,5,,3,60.00%,4,,1,25.00%,1,,0,0.00%,5,,0,0.00%,0,,0,#DIV/0!,0,,0,#DIV/0!,24,5,
University of Virginia,32,c_not,United States,25.00%,4,16,26.67%,4,15,11,,3,27.27%,1,,1,100.00%,3,,0,0.00%,1,,0,0.00%,6,,1,16.67%,0,,0,#DIV/0!,0,,0,#DIV/0!,22,5,
Carnegie-Mellon University,35,c_not,United States,13.04%,3,23,16.67%,3,18,11,,2,18.18%,3,,0,0.00%,4,1,1,25.00%,1,,0,0.00%,3,,0,0.00%,3,,0,0.00%,1,,0,0.00%,26,3,
Georgetown University,35,c_not,United States,27.78%,10,36,35.71%,10,28,14,1,4,28.57%,9,,4,44.44%,5,,2,40.00%,0,,0,#DIV/0!,11,,1,9.09%,8,,0,0.00%,0,,0,#DIV/0!,47,11,
Syracuse University,35,c_not,United States,29.17%,7,24,26.67%,4,15,8,,1,12.50%,3,,2,66.67%,4,,1,25.00%,0,,0,#DIV/0!,6,,1,16.67%,0,,0,#DIV/0!,9,,3,33.33%,30,8,
